Id_kingdom;name;main_river;location;population;exist
1;Север;Сломанная Ветка;Вестерос;76357;False
2;Западные земли;Камнегонка;Вестерос;47506;False
3;Дорн;Не указана;Вестерос;89665;False
4;Простор;Не указана;Вестерос;89162;True
5;Долина Аррен;Не указана;Вестерос;23724;True
6;Речные земли;Божье Око;Вестерос;47310;False
7;Штормовые земли;Не указана;Вестерос;21015;False
8;Королевские земли;Не указана;Вестерос;51634;False
9;Железные острова;Не указана;Вестерос;18614;True
10;Вольные города;Койна;Эссос;84044;False
11;Полуостров Валирия;Пролив Гискар;Эссос;58424;True
12;Залив Драконов;Скахазадхан;Эссос;94996;True
13;Сарнор;Море Мирт;Север Эссоса;97925;False
14;Дотракийское море;Дымящееся море;Эссос;40474;False
15;Лхазар;Кинжал;Эссос;35545;False
16;Красные пустоши;Дымящееся море;Эссос;43947;False
17;Кварт;Залив Печали;Эссос;45113;True
18;Иббен;Кинжал;Дрожащее море;81667;True
19;Равнины Джогос Нхай;Не указана;Общие земли;53636;False
20;Йи Ти;Море Мирт;Нефритовое море, Эссос;75644;True
21;Асшай;Ройна;Побережье Нефритового моря, Эссос;13520;False
22;Край Теней;Бухта Работорговцев;Эссос, Известный мир;76590;True
23;Стена;Не указана;Север, Вестерос;24570;True
24;Дар;Не указана;Общие земли;67844;False
25;Земли за Стеной;Не указана;Вестерос, Известный мир;29687;False
