Id_organization;name;type;location;state;followers
1;Братство без знамён;Отряд повстанцев;Полый Холм, Речные земли;Активный;182
2;Ночной дозор;Военная организация;СтенаЧёрный замокСумеречная башняВосточн;Действует;451
3;Братство Королевского леса;Бандитская шайка;Королевский лес, Королевские земли;Ликвидировано;235
4;Городской дозор;Городская стража;Королевская Гавань, Королевские земли;Активный;230
5;Гражданская гвардия;Городская стража;Кварт, Эссос;Существуют;11
6;Железный флот;Военные;Не известно;Уничтожен;220
7;Королевская гвардия;Королевская стража;Башня Белого Меча, Красный замок;Активен;39
8;Королевский флот;Военный флот;Королевская Гавань, Королевские земли;Активный;297
9;Кхаласар;Дотракийский клан;Дотракийское море, Эссос, Вестерос;Активный;421
10;Сыны Гарпии;Отряд;Не известно;Активный;378
11;Тигровые плащи;Рабы-солдаты;Волантис, Эссос;Активный;164
12;Флот Ланнистеров;Военный флот;Ланниспорт;Уничтожен;24
13;Флот Редвинов;Военный флотТорговый флот;Остров Арбор, Простор;Активный;10
14;Бородатые жрецы;Священнослужители;Норвос;Активные;73
15;Воробьи;Религиозное движение;Королевская Гавань, Королевские земли;Уничтожены;378
16;Дош кхалин;Служители культа;Ваес Дотрак, Дотракийское море, Эссос;Активный;215
17;Молчаливые сёстры;Религиозный орден;Семь Королевств;Активный;143
18;Праведные;Религиозный совет;Великая септа Бейлора, Королевская Гаван;Активный;17
19;Святое воинство;Военный орден;Великая септа Бейлора, Королевская Гаван;Уничтожены;401
20;Безликие;Религиозный культ;Чёрно-белый дом, Браавос;Действует;23
21;Безупречные;Организация наёмников;Эссос;Активный;351
22;Вороны-буревестники;Организация наёмников;Эссос;Действует;299
23;Гонимые ветром;Организация наёмников;Вольные города, Эссос;Действует;94
24;Золотые мечи;Организация наёмников;Вольные города, Эссос;Разгромлены;492
25;Младшие сыновья;Отряд;Не известно;Активный;112
26;Потерянный легион;Организация наёмников;Вольные города, Эссос;Действует;312
27;Великие мастера;правящая элита Миэрина;Миэрин, Бухта Работорговцев, Эссос;Активный;353
28;Гильдия алхимиков;Гильдия ремесленников;Штаб-квартира гильдии алхимиков, Королев;Активный;66
29;Добрые мастера;Правящая элита Астапора;Астапор, Бухта Работорговцев, Эссос;Ликвидированы;179
30;Железный банк Браавоса;Банк;Браавос, Вольные города, Эссос;Активный;311
31;Колдуны Кварта;Орден колдунов;Дом Бессмертных, Кварт, Эссос;Активный;222
32;Малый совет;Совещательный орган при короле;Красный замок, Королевская Гавань;Действует;355
33;Мейстеры;Орден ученых и целителей;Цитадель, Старомест;Действует;324
34;Мудрые мастера;правящая элита Юнкая;Юнкай, Бухта Работорговцев, Эссос;Активный;376
35;Пташки;Шпионская сеть;Вестерос, Эссос;Действует;186
36;Тринадцать;Городской совет;Кварт, Эссос;Прекратил существование;295
