Id_organization;Id_character;state;years_in
15;658;False;17
34;82;True;3
15;540;False;14
4;106;False;27
5;187;True;39
15;685;False;16
25;539;True;5
24;609;False;44
2;122;True;24
13;417;True;42
33;489;True;18
12;164;False;19
27;779;True;13
2;219;True;21
26;890;False;49
25;505;True;8
3;342;True;24
24;865;True;37
8;978;False;13
31;779;True;40
17;850;False;9
11;520;False;9
7;699;False;22
10;789;True;43
23;874;True;48
1;791;True;41
9;804;True;45
24;330;False;10
17;228;False;41
36;921;False;47
15;1;True;34
26;899;True;36
29;588;False;16
32;949;True;41
15;996;False;43
14;357;True;22
30;902;True;44
3;182;False;7
27;570;True;9
17;485;True;47
6;625;False;43
6;636;False;23
25;772;False;1
24;491;True;41
19;811;True;48
2;887;True;35
8;529;False;12
17;501;True;24
12;338;False;37
17;758;True;13
27;132;True;40
22;279;False;8
24;919;False;48
32;650;True;25
27;916;True;19
7;1000;False;29
9;174;False;40
24;215;False;14
36;296;False;40
28;931;True;25
7;535;True;35
4;846;True;2
29;116;True;22
12;978;False;13
6;108;True;47
2;211;True;8
35;58;False;42
31;990;True;13
28;900;False;17
9;243;False;39
16;804;True;37
5;532;True;27
28;45;True;10
32;454;False;2
6;784;False;46
26;123;False;22
31;562;False;49
1;339;False;39
28;58;False;46
31;475;False;49
9;963;True;32
28;823;False;37
21;165;True;26
17;528;True;27
18;337;True;34
12;362;False;8
22;167;True;41
36;799;False;48
29;150;False;15
4;241;True;39
14;507;False;22
11;306;True;44
7;272;False;11
10;373;True;29
16;6;True;27
16;498;True;3
26;870;False;29
35;617;False;9
15;158;True;14
36;498;False;28
35;68;True;3
15;823;False;11
31;810;False;41
15;922;True;19
3;306;True;12
30;437;False;14
6;277;False;36
29;427;False;41
17;681;False;22
21;634;False;19
20;447;True;1
11;43;False;24
25;643;False;12
20;477;True;29
11;413;False;26
16;931;False;46
8;496;False;42
23;255;False;33
9;261;False;46
19;88;True;17
24;225;False;48
35;199;True;37
29;713;False;11
14;189;True;41
1;980;True;46
23;509;False;28
7;633;False;48
16;616;True;26
10;522;False;6
26;938;False;10
14;272;False;43
31;485;True;35
22;904;False;44
3;690;True;19
18;630;True;15
19;678;True;43
27;666;False;2
32;417;False;46
2;434;True;4
5;425;False;20
29;458;True;3
9;98;True;48
2;230;True;47
14;794;True;49
27;976;False;5
15;337;False;19
15;55;False;4
11;560;False;41
33;138;False;14
10;305;True;39
19;953;False;34
3;369;False;8
29;675;True;30
3;984;False;30
17;785;False;8
21;293;True;41
20;213;False;22
23;671;False;25
22;320;False;50
12;848;False;46
28;447;False;21
7;836;False;50
24;877;False;19
18;365;False;14
22;592;True;18
32;265;False;43
18;595;True;29
22;443;False;7
12;473;True;24
18;684;True;8
2;481;False;34
18;425;True;27
27;413;False;49
24;920;True;46
34;922;True;27
17;26;False;29
11;751;True;12
4;827;False;24
33;904;True;24
20;970;True;37
30;604;False;42
24;627;False;24
27;579;True;33
35;355;False;31
5;302;True;47
15;246;False;7
3;976;False;32
30;112;True;3
21;206;False;3
11;13;False;40
16;573;True;1
32;380;False;1
6;675;False;42
10;815;True;40
4;341;True;36
28;444;False;9
26;789;True;9
24;526;True;29
27;700;False;43
3;671;False;45
28;424;True;18
20;705;False;16
3;870;True;19
12;75;True;10
14;848;False;6
34;907;True;30
1;219;False;47
